club,status,county,platform,sheets,postcode,reason,evidence_url
Allen Park Golf Centre,live,,brs,1,BT41 2UB,,
Birchwood Park,live,,esp,1,DA2 7HJ,,
Canterbury,live,,intelligent_golf,1,CT1 1TW,,
Chart Hills,live,,esp,1,TN27 8JX,,
Cooden Beach,live,,intelligent_golf,1,TN39 4TR,,
Copthorne,live,,intelligent_golf,2,RH10 3LL,,
Cottesmore Golf Club,live,,esp,1,RH11 9AT,,
Crowborough Beacon Golf Club,live,,intelligent_golf,1,TN6 1UJ,,
Drayton Park Golf Club,live,,brs,1,OX14 4LA,,
Dukes Meadows Golf,live,,brs,1,W4 2SH,,
East Sussex National,live,,shiji,2,BN8 5ES,,
Eastbourne Downs,live,,golf_manager,1,BN20 8ES,,
Haywards Heath,live,,intelligent_golf,1,RH16 1SL,,
Horsham Golf Club,live,,intelligent_golf,1,RH13 0AX,,
Knole Park,live,,intelligent_golf,1,TN15 0HJ,,
Lamberhurst,live,,intelligent_golf,1,TN3 8DT,,
London Club,live,,esp,1,TN15 7EH,,
Mannings Heath,live,,intelligent_golf,2,RH13 6PG,,
Nizels,live,,intelligent_golf,1,TN11 8NU,,
Piltdown,live,,intelligent_golf,1,TN22 3XB,,
Poult Wood Golf Course,live,,gladstone,2,TN11 9QR,,
Prince's,live,,esp,1,CT13 9QB,,
Redlibbets,live,,golf_manager,1,TN15 7HT,,
REGC,live,,intelligent_golf,2,BN20 8BP,,
Royal Cinque Ports Golf Club,live,,intelligent_golf,1,CT14 6RF,,
Slinfold Golf & Country Club,live,,intelligent_golf,2,RH13 0RE,,
Sweetwoods,live,,esp,1,TN8 7AY,,
The Heron,live,,intelligent_golf,3,CM13 3LW,,
The Ridge,live,,intelligent_golf,1,ME17 3JB,,
West Malling,live,,intelligent_golf,2,ME19 5AR,,
Westerham,live,,esp,1,TN16 1QN,,
Wildernesse,live,,intelligent_golf,1,TN15 0JE,,
Willingdon,live,,clubv1,1,BN20 9AA,,
Woodhall Spa National Golf Centre,live,,intelligent_golf,2,LN10 6PU,,
Aylesbury Vale Golf Club,live,bedfordshire,brs,1,LU7 0UJ,,https://visitors.brsgolf.com/aylesburyvale
Bedford and County Golf Club,live,bedfordshire,intelligent_golf,1,MK41 6ET,,https://bedfordcounty.intelligentgolf.co.uk/visitorbooking/
Cainhoe Wood Golf Club,live,bedfordshire,intelligent_golf,1,SG17 5PH,,https://cainhoewood.intelligentgolf.co.uk/visitorbooking/
Leighton Buzzard Golf Club,live,bedfordshire,intelligent_golf,1,LU7 3JF,,https://www.lbgc.co.uk/visitorbooking/
South Beds Golf Club,live,bedfordshire,clubv1,1,LU2 7AE,,https://southbeds.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11
The Millbrook Golf Club,live,bedfordshire,brs,1,MK45 2JB,,https://visitors.brsgolf.com/millbrook
Tilsworth Golf Course,live,bedfordshire,brs,1,LU7 9PU,,https://visitors.brsgolf.com/tilsworth
Whipsnade Park Golf Club,live,bedfordshire,brs,1,LU2 0FY,,https://visitors.brsgolf.com/whipsnadepark
Billingbear Park Golf Course,live,berkshire,brs,1,RG40 5SJ,,https://visitors.brsgolf.com/billingbearold#/course/1
Bird Hills Golf Centre,live,berkshire,intelligent_golf,1,SL6 3ST,,https://birdhills.intelligentgolf.co.uk/visitorbooking/
Calcot Park Golf Club,live,berkshire,intelligent_golf,1,RG31 7RN,,https://www.calcotpark.com/visitorbooking/
Donnington Grove Country Club,live,berkshire,brs,1,RG14 2LA,,https://visitors.brsgolf.com/donningtongrove#/course/1
Donnington Valley Golf Club,live,berkshire,intelligent_golf,1,RG14 3AG,,https://donningtonvalley.intelligentgolf.co.uk/visitorbooking/
Goring & Streatley Golf Club,live,berkshire,intelligent_golf,1,RG8 9QA,,https://goring.intelligentgolf.co.uk/visitorbooking/
Hennerton Golf Club,live,berkshire,brs,1,RG10 8LT,,https://visitors.brsgolf.com/hennerton/
Newbury & Crookham Golf Club,live,berkshire,intelligent_golf,1,RG19 8BZ,,https://newburygolf.intelligentgolf.co.uk/visitorbooking/
Richings Park Golf and Country Club,live,berkshire,intelligent_golf,1,SL0 9DL,,https://www.richingspark.co.uk/visitorbooking/
Royal Ascot Golf Club,live,berkshire,intelligent_golf,1,SL5 7LJ,,https://royalascot.intelligentgolf.co.uk/visitorbooking/
Temple Golf Course,live,berkshire,intelligent_golf,1,SL6 5LH,,https://www.templegolfclub.co.uk/visitorbooking/
The Caversham,live,berkshire,intelligent_golf,1,RG4 7UT,,https://caversham.intelligentgolf.co.uk/visitorbooking/
The Club at Mapledurham,live,berkshire,intelligent_golf,1,RG4 7UD,,https://golf.theclubatmapledurham.com/visitorbooking/
The West Berkshire Golf Club,live,berkshire,brs,1,RG20 7DU,,https://visitors.brsgolf.com/westberkshire#/course/1
Theale Golf Club,live,berkshire,brs,1,RG7 5EX,,https://visitors.brsgolf.com/theale#/course/1
Winter Hill Golf Course,live,berkshire,golf_manager,1,SL6 9RP,,https://winterhill.golfmanager.com/consumer/home
Abbey Hill Golf Centre,live,buckinghamshire,esp,1,MK8 8AA,,https://www.e-s-p.com/elitelive/book_webpromotion.php?ref=AHcrazygolf&dt=CRAZYGOLF&
Aspley Guise & Woburn Sands Golf Club,live,buckinghamshire,intelligent_golf,1,MK17 8DX,,https://aspley.intelligentgolf.co.uk/visitorbooking/
Beaconsfield Golf Club,live,buckinghamshire,intelligent_golf,1,HP9 2UR,,https://www.beaconsfieldgolfclub.co.uk/visitorbooking/
Chiltern Forest Golf Course,live,buckinghamshire,brs,1,HP22 5NQ,,https://visitors.brsgolf.com/chilternforest#/course/1
Flackwell Heath Golf Course,live,buckinghamshire,intelligent_golf,1,HP10 9PE,,https://www.fhgc.co.uk/visitorbooking/
Harleyford Golf Club,live,buckinghamshire,intelligent_golf,1,SL7 2SP,,https://harleyford.intelligentgolf.co.uk/visitorbooking/
Huntswood Golf Course,live,buckinghamshire,brs,1,SL1 8LS,,https://visitors.brsgolf.com/huntswood#/course/1
